day,logged,location,model name,supply scenario,demand scenario,avg daily demand,inventory size,test days,init days,epsilon start,epsilon anneal,epsilon min,epsilon current,learning rate,gamma,batch size,num units requested,num supplied products,num supplied O-,num supplied O+,num supplied B-,num supplied B+,num supplied A-,num supplied A+,num supplied AB-,num supplied AB+,num requests O-,num requests O+,num requests B-,num requests B+,num requests A-,num requests A+,num requests AB-,num requests AB+,num O- in inventory,num O+ in inventory,num B- in inventory,num B+ in inventory,num A- in inventory,num A+ in inventory,num AB- in inventory,num AB+ in inventory,reward,day loss,issued but nonexistent,issued but discarded,num outdates,num shortages,num mismatches A,num mismatches B,num mismatches D
64,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,42,0,0,0,0,0,0,0,0,0,2,20,0,1,0,19,0,0,17,46,0,0,0,40,0,0,-1650,0.0,33,0,0,33,0,0,0
65,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,50,56,7,22,2,7,2,16,0,0,3,20,0,5,0,22,0,0,20,66,2,7,2,53,0,0,-3323,0.0,32,1,1712,33,0,0,0
66,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,56,0,0,0,0,0,0,0,0,0,2,25,0,4,3,16,1,5,14,48,0,4,0,36,0,0,-2200,0.0,44,0,0,44,0,0,0
67,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,32,60,5,23,0,6,5,19,2,0,3,11,0,1,0,15,2,0,15,70,0,7,5,51,2,0,-2184,0.0,16,5,1329,21,0,0,0
68,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,34,3,1,1,0,0,0,1,0,0,0,13,0,2,2,15,0,2,13,46,0,4,0,36,0,0,-1150,0.0,23,0,0,23,0,0,0
69,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,43,59,9,26,0,4,0,20,0,0,4,9,0,7,9,13,0,1,17,69,0,6,0,55,0,0,-3205,0.0,35,3,1422,38,0,0,0
70,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,63,0,0,0,0,0,0,0,0,0,6,20,0,4,9,19,0,5,15,50,0,5,0,40,0,0,-2483,5934.517578125,49,3,0,52,0,0,0
71,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,77,54,13,20,2,3,3,12,0,1,10,24,1,9,5,24,1,3,23,66,2,5,3,50,0,1,-4969,1638.923583984375,51,1,2408,52,0,0,0
72,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,33,9,2,0,0,3,2,2,0,0,7,9,2,4,4,7,0,0,18,47,0,3,2,35,0,0,-1233,842.4866943359375,24,2,11,26,0,0,0
73,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,43,49,5,23,1,2,1,17,0,0,5,18,0,3,3,14,0,0,23,67,1,3,1,50,0,0,-2986,2522.85888671875,25,2,1714,27,0,0,0
74,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,34,13,3,5,0,1,1,3,0,0,0,15,1,3,3,11,0,1,21,48,0,1,1,34,0,0,-1350,3853.162841796875,27,0,0,27,0,0,0
75,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,13,40,4,11,0,3,2,20,0,0,3,5,0,0,1,4,0,0,24,56,0,4,2,52,0,0,-882,2904.22998046875,8,2,460,10,0,0,0
76,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,24,12,4,4,0,0,1,3,0,0,0,9,0,0,0,15,0,0,18,43,0,2,3,45,0,0,-727,1895.343994140625,13,2,55,15,0,0,0
77,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,47,39,10,14,0,0,1,12,1,1,4,16,0,5,5,13,2,2,26,52,0,0,3,55,1,1,-2948,1071.1510009765625,29,1,1487,30,0,0,0
78,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,70,21,4,8,1,3,0,5,0,0,1,19,0,13,7,25,1,4,25,42,1,3,0,43,0,0,-2552,2152.245361328125,46,3,219,49,0,0,0
79,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,42,43,4,17,1,2,6,13,0,0,3,17,0,0,5,14,0,3,21,54,1,2,6,49,0,0,-2332,1601.4862060546875,27,2,960,29,0,0,0
80,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,45,10,1,3,0,1,0,5,0,0,3,19,0,2,1,18,0,2,21,46,0,2,4,38,0,0,-1606,1773.61083984375,29,1,145,30,0,0,0
81,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,30,46,6,18,0,2,4,16,0,0,2,4,1,7,3,13,0,0,24,60,0,2,6,49,0,0,-2239,1188.208251953125,25,1,978,26,0,0,0
82,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,49,2,0,1,0,0,0,1,0,0,2,27,0,4,2,12,0,2,15,47,0,0,4,40,0,0,-2228,1453.5142822265625,34,1,517,35,0,0,0
83,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,35,61,13,24,0,2,4,16,0,2,1,9,2,6,1,15,0,1,24,63,0,2,6,51,0,2,-2155,1197.9693603515625,22,2,1033,24,0,0,0
